investing_symbol,sector,sub_sector
ASTA,Consumer Non-Cyclicals,Food & Tobacco
ASTE,Financials,Holding Companies
ASTR,Consumer Cyclicals,Media & Publishing
ATAI,Basic Materials,Containers & Packaging
ATLA,Industrials,Transport Infrastructure
ATNO,Consumer Cyclicals,Homebuilding & Construction Supplies
ATRL,Real Estate,Residential & Commercial REITs
ATSM,Industrials,Machinery Equipment & Components
AURE,Technology,Electronic Equipment & Parts
AURH,Basic Materials,Paper & Forest Products
AUTC,Technology,Software & IT Services
AVAL,Others,Others
AVIL,Consumer Cyclicals,Hotels & Entertainment Services
AWAN,Technology,Software & IT Services
AWCF,Industrials,Professional & Commercial Services
AXIA,Technology,Others
AXSR,Real Estate,Residential & Commercial REITs
AXTE,Others,Others
AYER,Others,Others
AYSV,Industrials,Diversified Trading & Distributing
AZRB,Industrials,Construction & Engineering
BABA,Consumer Cyclicals,Household Goods
BAHV,Consumer Non-Cyclicals,Food & Tobacco
BARA,Energy,Oil & Gas Related Equipment and Services
BATO,Consumer Non-Cyclicals,Food & Tobacco
BCBB,Others,Others
BCMA,Industrials,Machinery Equipment & Components
BDBS,Industrials,Construction & Engineering
BECH,Industrials,Professional & Commercial Services
BENL,Industrials,Construction & Engineering
BERA,Consumer Cyclicals,Specialty Retailers
BERJ,Others,Others
BERM,Others,Others
BESH,Consumer Cyclicals,Specialty Retailers
BETA,Consumer Cyclicals,Specialty Retailers
BGRO,Consumer Non-Cyclicals,Others
BHIB,Industrials,Machinery Equipment & Components
BIGI,Basic Materials,Construction Materials
BIMB,Financials,Banking Services
BINC,Technology,Others
BINS,Industrials,Construction & Engineering
BIOA,Healthcare,Pharmaceuticals
BJFO,Consumer Cyclicals,Hotels & Entertainment Services
BKCB,Industrials,Construction & Engineering
BLAD,Consumer Cyclicals,Hotels & Entertainment Services
BLDN,Consumer Non-Cyclicals,Food & Tobacco
BMGR,Industrials,Machinery Equipment & Components
BMYS,Financials,Investment Banking & Investment Services
BONI,Consumer Cyclicals,Specialty Retailers
BPAC,Basic Materials,Containers & Packaging
BPAK,Basic Materials,Containers & Packaging
BPOT,Industrials,Transport Infrastructure
BPPL,Basic Materials,Containers & Packaging
BPUR,Industrials,Construction & Engineering
BRNL,Consumer Cyclicals,Hotels & Entertainment Services
BSLC,Basic Materials,Metals & Mining
BTKW,Basic Materials,Chemicals
BTMR,Basic Materials,Paper & Forest Products
BUAB,Energy,Oil & Gas Related Equipment and Services
CABC,Consumer Non-Cyclicals,Food & Tobacco
CABN,Industrials,Construction & Engineering
CAMA,Real Estate,Residential & Commercial REITs
CAPE,Technology,Electronic Equipment & Parts
CAPI,Industrials,Passenger Transportation Services
CARE,Healthcare,Healthcare Equipment & Supplies
CARL,Consumer Cyclicals,Specialty Retailers
CARM,Energy,Oil & Gas Related Equipment and Services
CARZ,Consumer Non-Cyclicals,Food & Tobacco
CATH,Consumer Cyclicals,Media & Publishing
CBIP,Industrials,Machinery Equipment & Components
CBMS,Consumer Non-Cyclicals,Beverages
CCIN,Consumer Non-Cyclicals,Personal &Household Products & Services
CCKH,Consumer Non-Cyclicals,Food & Drug Retailing 
CEKD,Industrials,Machinery Equipment & Components
CELC,Technology,Others
CENG,Healthcare,Healthcare Providers & Services
CENT,Industrials,Construction & Engineering
CETH,Consumer Cyclicals,Textiles & Apparel
CFMS,Industrials,Professional & Commercial Services
CHHB,Healthcare,Healthcare Providers & Services
CHIN,Consumer Cyclicals,Automobiles & Auto Parts
CHIU,Consumer Cyclicals,Homebuilding & Construction Supplies
CHOO,Basic Materials,Metals & Mining
CHRB,Financials,Holding Companies
CIHB,Consumer Non-Cyclicals,Food & Tobacco
CIMB,Financials,Banking Services
CITA,Industrials,Construction & Engineering
CITR,Consumer Non-Cyclicals,Food & Tobacco
CJCE,Industrials,Freight & Logistics Services
CLAS,Consumer Cyclicals,Textiles & Apparel
CLOD,Technology,Software & IT Services
CLOU,Technology,Software & IT Services
CMEG,Industrials,Machinery Equipment & Components
CMSM,Basic Materials,Construction Materials
CNAC,Industrials,Machinery Equipment & Components
CNER,Industrials,Machinery Equipment & Components
CNON,Basic Materials,Containers & Packaging
CNSH,Technology,Others
COMF,Healthcare,Healthcare Equipment & Supplies
CONC,Basic Materials,Construction Materials
CORA,Basic Materials,Metals & Mining
COSO,Basic Materials,Metals & Mining
COWH,Consumer Non-Cyclicals,Beverages
CPGT,Technology,Computers Phones & Household Electronics
CPWA,Consumer Non-Cyclicals,Food & Tobacco
CREC,Others,Others
CREH,Industrials,Construction & Engineering
CRIT,Industrials,Construction & Engineering
CRSM,Consumer Non-Cyclicals,Food & Tobacco
CSTH,Basic Materials,Metals & Mining
CTAL,Industrials,Machinery Equipment & Components
CTOS,Industrials,Professional & Commercial Services
CTPB,Consumer Non-Cyclicals,Food & Tobacco
CUSC,Technology,Software & IT Services
CVIE,Others,Others
CWGH,Industrials,Professional & Commercial Services
CWHB,Industrials,Machinery Equipment & Components
CYBE,Others,Others
CYLC,Basic Materials,Containers & Packaging
CYPR,Utilities,Electrical Utilities & IPPs
DATA,Technology,Software & IT Services
DAYT,Technology,Software & IT Services
DBMS,Consumer Non-Cyclicals,Food & Tobacco
DCHE,Consumer Non-Cyclicals,Personal &Household Products & Services
DEHB,Energy,Oil & Gas Related Equipment and Services
DELM,Industrials,Diversified Trading & Distributing
DEST,Industrials,Professional & Commercial Services
DFCI,Basic Materials,Construction Materials
DGBA,Technology,Software & IT Services
DIAL,Energy,Oil & Gas Related Equipment and Services
DIGS,Technology,Others
DIVF,Technology,Software & IT Services
DKLS,Industrials,Construction & Engineering
DLEU,Energy,Oil & Gas Related Equipment and Services
DNCE,Basic Materials,Containers & Packaging
DNCO,Industrials,Machinery Equipment & Components
DNEX,Technology,Software & IT Services
DOLP,Industrials,Machinery Equipment & Components
DOMN,Basic Materials,Paper & Forest Products
DOVT,Technology,Semiconductors & Semiconductor Equipment
DPIH,Basic Materials,Chemicals
DPSS,Industrials,Construction & Engineering
DRBM,Consumer Cyclicals,Automobiles & Auto Parts
DSON,Technology,Software & IT Services
DSRT,Consumer Non-Cyclicals,Food & Tobacco
DSSI,Basic Materials,Containers & Packaging
DUFU,Industrials,Machinery Equipment & Components
DUOP,Healthcare,Pharmaceuticals
DUTA,Others,Others
DXNO,Consumer Cyclicals,Specialty Retailers
DYNF,Technology,Software & IT Services
EAHL,Technology,Software & IT Services
EATE,Industrials,Freight & Logistics Services
ECAI,Technology,Semiconductors & Semiconductor Equipment
ECES,Industrials,Professional & Commercial Services
ECMI,Consumer Cyclicals,Hotels & Entertainment Services
ECOB,Industrials,Construction & Engineering
ECOD,Others,Others
ECOF,Others,Others
ECOH,Industrials,Construction & Engineering
ECOM,Consumer Cyclicals,Household Goods
ECOR,Consumer Cyclicals,Homebuilding & Construction Supplies
ECOS,Industrials,Construction & Engineering
ECOW,Others,Others
EDEL,Technology,Semiconductors & Semiconductor Equipment
EDEN,Utilities,Electrical Utilities & IPPs
EDSB,Technology,Software & IT Services
EDUS,Others,Others
EGCM,Technology,Electronic Equipment & Parts
EITA,Industrials,Machinery Equipment & Components
EKOV,Industrials,Construction & Engineering
EKSN,Basic Materials,Paper & Forest Products
ELKD,Financials,Banking Services
ELSR,Technology,Computers Phones & Household Electronics
EMIC,Industrials,Professional & Commercial Services
ENCR,Industrials,Construction & Engineering
ENES,Consumer Non-Cyclicals,Food & Tobacco
ENGH,Consumer Non-Cyclicals,Personal &Household Products & Services
ENOB,Others,Others
ENRA,Energy,Oil & Gas Related Equipment and Services
EONM,Basic Materials,Metals & Mining
EPIO,Industrials,Construction & Engineering
EPMB,Consumer Cyclicals,Automobiles & Auto Parts
EQUI,Financials,Investment Banking & Investment Services
ERHB,Industrials,Professional & Commercial Services
ESAN,Consumer Cyclicals,Household Goods
ESCB,Industrials,Construction & Engineering
ESCM,Consumer Cyclicals,Textiles & Apparel
ESTH,Consumer Cyclicals,Specialty Retailers
ETEX,Basic Materials,Metals & Mining
EUPE,Others,Others
EVDB,Technology,Software & IT Services
EVEG,Financials,Banking Services
EVES,Consumer Cyclicals,Automobiles & Auto Parts
EVGN,Basic Materials,Paper & Forest Products
EWEI,Industrials,Machinery Equipment & Components
EXFM,Technology,Software & IT Services
FACN,Consumer Cyclicals,Household Goods
FAJA,Industrials,Construction & Engineering
FARM,Consumer Non-Cyclicals,Food & Tobacco
FAST,Energy,Oil & Gas
FCDY,Consumer Cyclicals,Hotels & Entertainment Services
FCWH,Consumer Non-Cyclicals,Personal &Household Products & Services
FEHS,Consumer Non-Cyclicals,Food & Tobacco
FGVH,Consumer Non-Cyclicals,Food & Tobacco
FIAM,Consumer Cyclicals,Household Goods
FIBN,Industrials,Machinery Equipment & Components
FIHB,Consumer Cyclicals,Specialty Retailers
FIMA,Consumer Non-Cyclicals,Food & Tobacco
FINT,Consumer Cyclicals,Hotels & Entertainment Services
FITT,Consumer Non-Cyclicals,Food & Tobacco
FLEX,Industrials,Machinery Equipment & Components
FLIM,Others,Others
FMHB,Industrials,Freight & Logistics Services
